,average_abs_corr,average_divergence,average_length,count,log10_count,class_name,family_name,average_abs_corr_random_95_top,status_95
AluJb,0.03677133789558059,12.86493148505412,339.9139781955724,251692,5.400869411769775,SINE,Alu,0.0018991907903339643,above
AluJo,0.021511078253093834,11.18129396865466,313.5876677316294,15650,4.194514341882467,SINE,Alu,0.00805492286788454,above
AluJr,0.023130010565346644,11.75542656937916,313.77252574858466,14661,4.166163593747834,SINE,Alu,0.008333130595759988,above
AluJr4,0.02189445158110563,12.952659793752167,314.909200968523,7434,3.871222556759707,SINE,Alu,0.011863788471152197,above
AluSc,0.026449989006832278,5.710995233573729,311.621383382539,23710,4.374931553978188,SINE,Alu,0.006489576241389044,above
AluSc5,0.02945386925158164,6.992873999166391,310.4563591022444,3609,3.5573868820595074,SINE,Alu,0.01727693269966924,above
AluSc8,0.029507336395933503,6.1164030170602635,312.7304809494066,19212,4.2835725779669245,SINE,Alu,0.0072399778392590935,above
AluSg,0.024830980477550228,6.315358534049591,311.0672905395526,34195,4.533962608069048,SINE,Alu,0.0053640819943418004,above
AluSg4,0.02701515849661812,6.538819335330109,312.36387616270997,7203,3.85751341477669,SINE,Alu,0.012060193568159154,above
AluSg7,0.020993196454257988,6.618700396273376,310.59698538367843,6568,3.8174331441113845,SINE,Alu,0.012653254539707436,above
AluSp,0.029644159896616975,5.72012765862901,314.0217396705508,40249,4.604755094644832,SINE,Alu,0.004928017918505829,above
AluSq,0.021163380221927354,6.51925853506619,314.3525791730051,14462,4.160228357197859,SINE,Alu,0.00839257893981737,above
AluSq10,0.03743107444137546,6.666683243973357,313.6957345971564,3165,3.500373714353374,SINE,Alu,0.018497895401423572,above
AluSq2,0.028927358698248203,6.398209896512321,314.36852960070325,29577,4.470954121333649,SINE,Alu,0.005784550830456183,above
AluSq4,0.02989156092894265,6.551968730429983,312.0650406504065,1599,3.2038484637462346,SINE,Alu,0.026385253788621447,above
AluSx,0.024891204304569474,7.594716607539848,328.49664955731635,301005,5.478573709727977,SINE,Alu,0.0017304148207007096,above
