individual_name,average_abs_corr,average_abs_corr_random,average_divergence,count,log10_count,class_name,average_abs_corr_random_95_top,status_95
Alu,0.0830558844741834,0.009585171021066477,128.9068392907402,7106,3.851625203153309,SINE,0.01106356970483212,above
Alu-VAR_rnd-5_family-1084,0.3535950658117458,0.4277239107960494,183.45454545454547,11,1.041392685158225,SINE,0.3659177025726487,below
AluJb,0.04667094284818176,0.0018683567533468333,176.1032571555711,251692,5.400869411769775,SINE,0.0016077552805980177,above
AluJo,0.032782426052950654,0.0058728349645528035,159.13686900958467,15650,4.194514341882467,SINE,0.007219304452882238,above
AluJr,0.03748364041458137,0.007592669291770325,164.1105654457404,14661,4.166163593747834,SINE,0.007478673743678469,above
AluJr4,0.02966484147169439,0.008291405944335303,168.3050847457627,7434,3.871222556759707,SINE,0.010796898069108059,above
AluSc,0.04264095668065379,0.004770506784246962,98.19198650358499,23710,4.374931553978188,SINE,0.005766919529582602,above
AluSc5,0.03872574948507016,0.012771773186288157,106.35882515932391,3609,3.5573868820595074,SINE,0.01595841369713345,above
AluSc8,0.03830908898129729,0.0058025790926753045,102.90412242348532,19212,4.2835725779669245,SINE,0.006461623196486809,above
AluSg,0.0427794541087777,0.004092157883983118,108.50615587074134,34195,4.533962608069048,SINE,0.004731032210082358,above
AluSg4,0.039816529250041595,0.01031823769843414,111.51797862001943,7203,3.85751341477669,SINE,0.010982760791404513,above
AluSg7,0.028286531049599644,0.01106554138681462,101.9138246041413,6568,3.8174331441113845,SINE,0.011544706548865242,above
AluSp,0.04371489276259942,0.004382528858460972,96.76009341847002,40249,4.604755094644832,SINE,0.004331900306735515,above
AluSq,0.036290210412999985,0.006463078215701834,104.83225003457336,14462,4.160228357197859,SINE,0.007534141386450422,above
AluSq10,0.04571619269444571,0.013694661450852129,104.69636650868878,3165,3.500373714353374,SINE,0.017132340415099333,above
AluSq2,0.04595543785598325,0.004237834950288407,107.05169557426379,29577,4.470954121333649,SINE,0.005117107638447558,above
AluSq4,0.040977305657424065,0.020703084549360925,104.59724828017511,1599,3.2038484637462346,SINE,0.024782645066562952,above
AluSx,0.043746028189920995,0.0012885000586642678,120.18273450607133,301005,5.478573709727977,SINE,0.0014595039640281798,above
AluSx1,0.04914583422418496,0.0030007827326593525,111.09181935961503,54030,4.732634967539195,SINE,0.0036943147032226357,above
AluSx3,0.03834900380395604,0.005887728867047728,113.68737972247544,19746,4.295479132678017,SINE,0.006366544262124291,above
AluSx4,0.03541617530312132,0.008124725312302902,108.6362305198201,9561,3.9805033181933953,SINE,0.00942347256969225,above
AluSz,0.040781360115775094,0.003769135905523376,120.72830489622028,47649,4.678053790618855,SINE,0.003954084041456508,above
AluSz6,0.04021270551347239,0.004523783486085572,133.72479828910275,30861,4.489409994554269,SINE,0.005000868950882531,above
AluY,0.03170655300077729,0.0030587899447101917,81.13510327644869,111981,5.049144341463508,SINE,0.002491136188509432,above
AluYa5,0.06935067162443652,0.011041862031683825,37.21827295511506,4389,3.6423655808449733,SINE,0.01435627606915678,above
AluYa8,0.04949271131332202,0.021205147110519858,131.16363636363636,1375,3.1383026981662816,SINE,0.026889838619701966,above
AluYb8,0.09031010575621273,0.011757585071264415,61.49217527386541,3834,3.5836521085420436,SINE,0.015445007778434864,above
AluYb9,0.09561193183687203,0.04546132527058723,46.28813559322034,295,2.469822015978163,SINE,0.06180662277218648,above
AluYc,0.03376868145756762,0.01829990042868694,74.2956645344705,2814,3.449324093098727,SINE,0.018256569946483846,above
AluYc3,0.08097572314873358,0.033935356111158325,127.28741721854304,755,2.8779469516291885,SINE,0.0371845309139134,above
AluYd8,0.0953716919113034,0.041547430946035344,76.71180555555556,288,2.459392487759231,SINE,0.06261440336117917,above
AluYe5,0.042957931127235886,0.010851497142037729,114.89357704133926,5854,3.7674527180977733,SINE,0.012285908550927614,above
AluYe6,0.07865197575575641,0.054380748640189776,104.158357771261,341,2.5327543789924976,SINE,0.057148858574756066,above
AluYf1,0.041618814414801905,0.025760680192509752,73.84167893961708,1358,3.132899769944483,SINE,0.02707132759399128,above
AluYg6,0.06749477521276584,0.018161821412146808,112.06953080836631,1769,3.2477278329097232,SINE,0.023465084327944613,above
AluYh3,0.042628007605102436,0.016238747265065523,129.39932126696831,1768,3.2474822606770544,SINE,0.023472259612897634,above
AluYh7,0.07981758671967512,0.029095449071883158,115.1534090909091,880,2.9444826721501687,SINE,0.034228392802582344,above
AluYh9,0.04400082774369777,0.026604855338850764,156.55915492957746,710,2.8512583487190755,SINE,0.03844083462529829,above
AluYi6,0.06543146496279179,0.02931290060555339,115.51159618008185,733,2.8651039746411278,SINE,0.03778387468978454,above
AluYi6_4d,0.07932030104759731,0.053783266663904816,132.64795918367346,196,2.292256071356476,SINE,0.07709827983491045,above
